case_id,packet_id,current_status,allowed_next_statuses,blocked_next_statuses,transition_requirements,thesis_use_allowed,thesis_use_gate,reviewer_action_required,source_packet_artifact,allowed_interpretation,blocked_claims
monitor_candidate_20260522_211500_40799b054be7,case_review_packet_monitor_candidate_20260522_211500_40799b054be7,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_212000_24b874775afe,case_review_packet_monitor_candidate_20260522_212000_24b874775afe,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_212000_a8030671b168,case_review_packet_monitor_candidate_20260522_212000_a8030671b168,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_220000_997f5287203d,case_review_packet_monitor_candidate_20260522_220000_997f5287203d,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_220500_07a19a12b63b,case_review_packet_monitor_candidate_20260522_220500_07a19a12b63b,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_221000_f0f7ebf8e213,case_review_packet_monitor_candidate_20260522_221000_f0f7ebf8e213,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260523_192500_71cd3b4e784b,case_review_packet_monitor_candidate_20260523_192500_71cd3b4e784b,source_check_pending,reviewed_keep_candidate;reviewed_false_context;thesis_excluded,needs_human_review,"Review source timestamps, market mapping, repeat-bucket evidence, materiality context, and missing-evidence fields before selecting a terminal review status.",false,Thesis-facing use remains blocked until a human reviewer marks reviewed_keep_candidate and documents remaining limitations.,"Choose keep, false-context, or exclusion after evidence review.",monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260711_043000_c4915e2197ca,case_review_packet_monitor_candidate_20260711_043000_c4915e2197ca,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260712_043000_99ab9e8ce0da,case_review_packet_monitor_candidate_20260712_043000_99ab9e8ce0da,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260712_043000_ca862e76e221,case_review_packet_monitor_candidate_20260712_043000_ca862e76e221,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260713_043000_5b68f4fe078f,case_review_packet_monitor_candidate_20260713_043000_5b68f4fe078f,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260716_043000_2a51690b697d,case_review_packet_monitor_candidate_20260716_043000_2a51690b697d,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260720_043000_b781d9823e21,case_review_packet_monitor_candidate_20260720_043000_b781d9823e21,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260721_043000_c2eb7db7da29,case_review_packet_monitor_candidate_20260721_043000_c2eb7db7da29,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
