state,source_count,direct_poll_source_count,polymarket_lower_loss_source_count,comparator_lower_loss_source_count,tie_source_count,polymarket_lower_loss_share,state_consensus_winner,direct_poll_polymarket_lower_loss_count,direct_poll_comparator_lower_loss_count,direct_poll_tie_count,direct_poll_consensus_winner,mean_polymarket_brier,mean_comparator_brier,mean_loss_advantage,source_ids,allowed_interpretation,limitation
Hawaii,2,0,0,2,0,0.0,comparator,0,0,0,no_direct_poll_source,0.0003239999999999,5e-07,-0.0003234999999999,rieke_poll_model;two_seventy_jhk_model,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Idaho,2,0,0,2,0,0.0,comparator,0,0,0,no_direct_poll_source,7.224999999999918e-05,1.0179999999999332e-05,-6.206999999999984e-05,rieke_poll_model;two_seventy_jhk_model,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Illinois,2,0,2,0,0,1.0,polymarket,0,0,0,no_direct_poll_source,0.000169,0.00029204499999995,0.00012304499999995,rieke_poll_model;two_seventy_jhk_model,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Indiana,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000324,3.568496110912583e-07,-0.00032364315038890877,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Iowa,3,1,1,2,0,0.3333333333333333,comparator,1,0,0,polymarket,0.024025,0.016040065802027634,-0.007984934197972368,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Kansas,3,1,2,1,0,0.6666666666666666,polymarket,1,0,0,polymarket,0.000484,0.0084292168071768,0.0079452168071768,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Kentucky,2,0,0,2,0,0.0,comparator,0,0,0,no_direct_poll_source,0.000169,1.7800000000000744e-06,-0.00016721999999999993,rieke_poll_model;two_seventy_jhk_model,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Louisiana,2,0,0,2,0,0.0,comparator,0,0,0,no_direct_poll_source,0.000196,4.190499999999896e-05,-0.00015409500000000104,rieke_poll_model;two_seventy_jhk_model,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Maine,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.0081,0.003048228857811766,-0.0050517711421882334,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Maryland,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.00011025,3.3333333334382396e-07,-0.00010991666666665617,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Massachusetts,3,1,0,3,0,0.0,comparator,0,1,0,comparator,5.6250000000000005e-05,3.3333333333599807e-07,-5.5916666666664e-05,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Michigan,4,2,2,2,0,0.5,tie,2,0,0,polymarket,0.35861875000000004,0.37860705346064166,0.019988303460641635,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Minnesota,4,2,1,3,0,0.25,comparator,0,2,0,comparator,0.009674999999999925,0.008758167400048148,-0.0009168325999517747,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Mississippi,2,0,1,1,0,0.5,tie,0,0,0,no_direct_poll_source,0.000324,0.00035694499999995,3.294499999995001e-05,rieke_poll_model;two_seventy_jhk_model,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Missouri,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000361,9.595043741179782e-07,-0.000360040495625882,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Montana,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000144,3.353919496802569e-07,-0.00014366460805031976,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Nebraska,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.00018224999999990002,5.595043741180662e-07,-0.00018169049562578193,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Nevada,4,2,4,0,0,1.0,polymarket,2,0,0,polymarket,0.166725,0.23520625014983199,0.068481250149832,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
New Hampshire,4,2,0,4,0,0.0,comparator,0,2,0,comparator,0.028224999999999924,0.012636277951119625,-0.015588722048880298,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
New Jersey,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.00105625,5.701682430462834e-05,-0.0009992331756953716,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
New Mexico,3,1,1,2,0,0.3333333333333333,comparator,1,0,0,polymarket,0.009025,0.006671240116502201,-0.0023537598834977996,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
New York,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.00030625,3.3696820332321043e-07,-0.0003059130317966768,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
North Carolina,4,2,4,0,0,1.0,polymarket,2,0,0,polymarket,0.11077500000000001,0.16828182407840803,0.057506824078408035,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
North Dakota,3,1,0,3,0,0.0,comparator,0,1,0,comparator,8.100000000000014e-05,3.333333333504901e-07,-8.066666666664965e-05,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Ohio,4,2,0,4,0,0.0,comparator,0,2,0,comparator,0.0062437499999999,0.0015924503500435749,-0.004651299649956325,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Oklahoma,3,1,0,3,0,0.0,comparator,0,1,0,comparator,8.100000000000014e-05,1.7174703451533574e-06,-7.928252965484679e-05,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Oregon,3,1,1,1,1,0.3333333333333333,tie,0,1,0,comparator,0.000256,0.0004510872596967319,0.00019508725969673196,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Pennsylvania,4,2,4,0,0,1.0,polymarket,2,0,0,polymarket,0.181825,0.25753587730904304,0.07571087730904306,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Rhode Island,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000144,1.2334949381264281e-06,-0.0001427665050618736,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
South Carolina,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.0008410000000000001,2.9307309434155707e-05,-0.0008116926905658442,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
South Dakota,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000196,3.3333333339113515e-07,-0.00019566666666660887,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Tennessee,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.0002722499999999,3.333422905209353e-07,-0.00027191665770937907,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Texas,4,2,2,2,0,0.5,tie,1,1,0,tie,0.007131249999999999,0.005150961559366901,-0.0019802884406330996,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Utah,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000289,3.3333333394857457e-07,-0.0002886666666660514,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Vermont,3,1,0,3,0,0.0,comparator,0,1,0,comparator,7.225000000000001e-05,3.333333333333333e-07,-7.191666666666668e-05,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Virginia,3,1,1,2,0,0.3333333333333333,comparator,1,0,0,polymarket,0.0121,0.007914986868368232,-0.004185013131631767,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Washington,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000144,3.335675615948208e-07,-0.00014366643243840518,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
West Virginia,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.0001,3.333333333504901e-07,-9.966666666664951e-05,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Wisconsin,4,2,4,0,0,1.0,polymarket,2,0,0,polymarket,0.3002249999999999,0.3735186280395548,0.07329362803955494,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Wyoming,3,1,0,3,0,0.0,comparator,0,1,0,comparator,5.624999999999926e-05,3.3333333333333404e-07,-5.591666666666594e-05,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
